chr	start	end
chr5_GL000208v1_random	80097	80439
chr12_KI270904v1_alt	145451	145728
chr9_KI270719v1_random	94243	94345
chr17_JH159147v1_alt	55447	55672
chr13_KI270840v1_alt	80074	83913
chr19_GL949747v2_alt	102155	104138
chr17_KI270859v1_alt	99838	100086
chr4_KI270790v1_alt	148487	150233
chr19_GL949748v2_alt	948865	949115
chr19_KI270883v1_alt	146391	146982
chr10_GL383546v1_alt	283083	283421
chr14_GL000225v1_random	209236	209376
chr11_KI270826v1_alt	59817	60037
chr19_GL383573v1_alt	254459	254786
chr4_GL000257v2_alt	80998	81351
chr7_GL383534v2_alt	25405	25924
chr9_KI270719v1_random	25941	27032
chr5_GL949742v1_alt	38624	38937
chr19_KI270921v1_alt	272015	272113
chr18_GL383569v1_alt	110569	110870
chr19_KI270917v1_alt	173811	173933
chr11_KI270903v1_alt	206378	206603
chr11_KI270721v1_random	71692	72411
chr14_KI270723v1_random	34983	35177
chr2_GL582966v2_alt	11747	12093
chr20_KI270869v1_alt	57768	57885
chr2_KI270716v1_random	143040	143216
chr11_KI270826v1_alt	29789	30096
chr6_GL383533v1_alt	60392	60662
chr8_KI270901v1_alt	35982	36742
chr2_KI270776v1_alt	163386	163892
chr5_KI270897v1_alt	379551	380722
chr4_KI270785v1_alt	31249	31358
chr17_KI270908v1_alt	611138	611966
chr5_GL383531v1_alt	104731	104885
chr8_KI270901v1_alt	3530	3764
chr1_KI270765v1_alt	50729	50938
chr9_KI270718v1_random	22272	22455
chr16_KI270728v1_random	127579	127915
chr7_KI270805v1_alt	192474	193195
chr11_KI270903v1_alt	19361	19680
chr17_KI270859v1_alt	62729	62868
chr19_GL383574v1_alt	129032	129405
chr22_KI270737v1_random	21375	23089
chr3_KI270935v1_alt	190307	190561
chr19_KI270914v1_alt	21749	22083
chr12_KI270904v1_alt	336212	350214
chr22_KI270732v1_random	19696	20666
chr17_GL383563v3_alt	109964	110085
chr4_KI270789v1_alt	80197	80549
chr17_JH159146v1_alt	231661	232719
chr16_KI270856v1_alt	43124	43267
chr1_KI270707v1_random	29601	29881
chr8_KI270815v1_alt	28103	28442
chr1_GL383520v2_alt	236704	237002
chr1_KI270761v1_alt	81381	81814
chr1_KI270713v1_random	6709	6824
chr11_KI270927v1_alt	24895	25260
chr4_KI270925v1_alt	42596	42934
chr22_KB663609v1_alt	9499	9825
chr6_KI270802v1_alt	3115	3361
chr17_KI270907v1_alt	10418	11160
chr16_KI270856v1_alt	25509	25688
chr19_GL383573v1_alt	38508	38694
chr2_GL582966v2_alt	74232	74921
chr17_GL000258v2_alt	883169	883281
chr3_GL000221v1_random	6226	6488
chr6_GL383533v1_alt	42960	43293
chr6_KI270802v1_alt	56246	56459
chr8_KI270819v1_alt	25582	26138
chr19_GL383574v1_alt	21745	21865
chr14_KI270723v1_random	34263	34374
chr14_KI270726v1_random	22815	23039
chr2_KI270773v1_alt	11433	11565
chr11_KI270830v1_alt	54005	54294
chr6_KI270758v1_alt	17210	17452
chr16_KI270854v1_alt	93480	93843
chr4_KI270788v1_alt	131269	131531
chr19_KI270885v1_alt	47390	47767
chr19_KI270888v1_alt	74552	74831
chr1_KI270710v1_random	5809	6916
chr14_KI270844v1_alt	128535	128766
chr14_KI270723v1_random	32684	33037
chr19_KI270866v1_alt	17499	17706
chr17_GL383565v1_alt	163614	163794
chr16_GL383557v1_alt	57898	58110
chr1_KI270709v1_random	26006	26169
chr6_KI270797v1_alt	29802	30213
chr19_GL383575v2_alt	95728	108127
chr4_GL000257v2_alt	79773	80899
chr4_KI270786v1_alt	119598	119834
chr5_KI270796v1_alt	35015	35187
chr10_KI270824v1_alt	113473	113792
chr7_KI270803v1_alt	898567	898861
chr11_KI270902v1_alt	52240	52630
chr1_KI270706v1_random	52276	52454
chr9_GL383542v1_alt	26760	27134
chr22_KI270735v1_random	19857	20124
chr3_KI270781v1_alt	60395	61249
chr18_GL383572v1_alt	100972	101660
chr12_GL383552v1_alt	13556	13655
chr6_GL000253v2_alt	294029	294394
chr14_GL000194v1_random	148684	149052
chr17_KI270729v1_random	203791	204202
chr17_KI270730v1_random	98240	98929
chr8_KI270817v1_alt	71675	71968
chr4_GL383527v1_alt	95713	95814
chr1_KI270764v1_alt	24246	25104
chr8_KI270816v1_alt	227366	228048
chr20_KI270871v1_alt	18605	18830
chr12_GL383553v2_alt	56691	57134
chr15_KI270852v1_alt	85655	85938
chr7_KI270899v1_alt	104150	104664
chr19_KI270916v1_alt	41227	41521
chr12_GL877876v1_alt	15203	15541
chr9_KI270823v1_alt	355929	356277
chr22_KI270879v1_alt	190222	190364
chr5_KI270795v1_alt	8640	39043
chr5_GL000208v1_random	23921	24081
chr19_KI270930v1_alt	66274	67540
chr17_KI270910v1_alt	82033	82439
chr17_KI270908v1_alt	1006078	1006588
chr4_KI270787v1_alt	100581	100957
chr19_KI270932v1_alt	64313	65410
chr1_KI270709v1_random	13286	14953
chr3_KI270777v1_alt	37976	38248
chr7_KI270804v1_alt	152496	154971
chr5_GL000208v1_random	24607	24871
chr11_KI270721v1_random	10638	10812
chr3_KI270936v1_alt	145614	145709
chr11_KI270927v1_alt	194762	194965
chr5_GL949742v1_alt	57747	58482
chr18_KI270863v1_alt	90019	90367
chr19_GL949747v2_alt	278171	278364
chr22_KI270738v1_random	9405	9739
chr18_GL383570v1_alt	151256	151370
chr13_KI270841v1_alt	160688	161416
chr14_KI270723v1_random	6338	6974
chr14_KI270726v1_random	39616	39895
chr19_GL949752v1_alt	94579	94753
chr3_KI270777v1_alt	148636	154730
chr17_KI270861v1_alt	139685	139863
chr3_KI270937v1_alt	37746	38088
chr3_KI270779v1_alt	32976	33227
chr9_KI270717v1_random	35611	36287
chr20_GL383577v2_alt	105000	105357
chr4_KI270789v1_alt	102744	103014
chr8_KI270814v1_alt	20940	27162
chr18_GL383568v1_alt	91201	91563
chrX_KI270913v1_alt	113445	113740
chr19_KI270916v1_alt	26520	26634
chr12_GL383549v1_alt	50811	51096
chr22_KI270736v1_random	174808	175116
chr19_KI270916v1_alt	17705	17815
chr19_KI270918v1_alt	119087	119493
chr14_GL000225v1_random	58158	58593
chr6_KI270802v1_alt	10445	11377
chr19_GL949752v1_alt	325512	326448
chr19_GL383576v1_alt	173168	174501
chr18_KI270864v1_alt	70079	70199
chr10_KI270824v1_alt	84834	85153
chr8_KI270817v1_alt	50878	51221
chr18_GL383571v1_alt	39370	39511
chr11_KI270903v1_alt	163087	163295
chr11_KI270831v1_alt	145641	145758
chr3_GL000221v1_random	15571	15843
chr13_KI270841v1_alt	147199	148568
chr5_GL383530v1_alt	47596	48213
chr19_KI270891v1_alt	46324	46686
chr15_KI270851v1_alt	103818	104810
chr20_KI270870v1_alt	50187	52806
chr22_KI270736v1_random	153314	153487
chr11_JH159137v1_alt	7170	7496
chr3_KI270780v1_alt	71805	72018
chr4_KI270789v1_alt	7416	7743
chr4_KI270896v1_alt	35633	36073
chr7_KI270808v1_alt	236289	236585
chr6_KI270799v1_alt	92820	93079
chr1_KI270892v1_alt	157303	157667
chr20_KI270871v1_alt	25246	25404
chr15_KI270849v1_alt	21702	21833
chr11_JH159136v1_alt	188607	189728
chr17_KI270908v1_alt	1169501	1169995
chr22_KI270928v1_alt	70110	70217
chr22_KI270736v1_random	86092	100164
chr18_GL383570v1_alt	29182	29771
chr15_KI270727v1_random	373707	373927
chr3_JH636055v2_alt	97021	98551
chr22_GL383582v2_alt	150059	150301
chr4_KI270787v1_alt	52131	52417
chr21_KI270874v1_alt	106274	109431
chr21_GL383578v2_alt	56530	56739
chr2_KI270774v1_alt	157554	158153
chr2_KI270771v1_alt	84882	85355
chr13_KI270843v1_alt	25737	25946
chr17_GL383566v1_alt	31448	31794
chr19_KI270938v1_alt	742241	742580
chr3_KI270782v1_alt	120639	121223
chr11_JH159136v1_alt	16530	16825
chr19_KI270866v1_alt	39842	40861
chr2_KI270769v1_alt	60452	60806
chr4_KI270925v1_alt	171035	171177
chr11_KI270903v1_alt	14048	14411
chr1_GL383520v2_alt	102689	103057
chr5_GL383531v1_alt	87279	87412
chr19_KI270938v1_alt	552129	552328
chr19_KI270915v1_alt	152319	153375
chr5_KI270794v1_alt	25361	25739
chr7_KI270808v1_alt	22948	23328
chr2_KI270716v1_random	134217	140732
chr9_KI270823v1_alt	62103	63054
chr4_KI270789v1_alt	185059	186271
chr19_KI270922v1_alt	31928	33606
chr5_KI270898v1_alt	120529	120812
chr2_GL383522v1_alt	42361	42524
chr18_GL383569v1_alt	140515	140842
chr17_KI270910v1_alt	129574	137420
chr2_GL582966v2_alt	86213	86494
chr5_KI270792v1_alt	79605	79928
chr5_GL949742v1_alt	187310	187646
chr4_KI270789v1_alt	198355	198563
chr1_KI270711v1_random	36302	37374
chr21_KI270873v1_alt	90946	91479
chr17_JH159148v1_alt	13654	13803
chr12_KI270904v1_alt	509063	510802
chr12_GL877876v1_alt	87375	87554
chr19_KI270938v1_alt	614270	614582
chr19_KI270886v1_alt	5953	6340
chr20_KI270869v1_alt	28506	79585
chrY_KI270740v1_random	24978	25323
chr5_KI270897v1_alt	554069	554227
chr19_KI270882v1_alt	51050	51261
chr1_GL383520v2_alt	136484	138277
chr15_KI270851v1_alt	141511	141684
chr22_KI270879v1_alt	231565	237775
chr19_KI270916v1_alt	55814	57193
chr22_KI270735v1_random	7146	7256
chr15_KI270852v1_alt	238450	238862
chr22_KB663609v1_alt	7049	7405
chr19_KI270920v1_alt	71254	71703
chr4_KI270925v1_alt	379013	379356
chr5_KI270793v1_alt	24081	24190
chr2_KI270894v1_alt	4740	5073
chr3_GL000221v1_random	6272	6481
chr3_KI270924v1_alt	18753	33760
chr6_GL000253v2_alt	4600597	4600909
chr1_GL383518v1_alt	109036	109178
chr8_KI270821v1_alt	854441	854719
chr17_KI270859v1_alt	106842	107184
chr21_GL383578v2_alt	55800	56157
chrX	108385117	108385218
chr5_KI270792v1_alt	39527	40554
chr19_KI270916v1_alt	154476	154662
chr3_KI270934v1_alt	36740	36910
chr5_KI270898v1_alt	103107	103478
chr8_KI270821v1_alt	48221	48472
chr3_KI270779v1_alt	163643	163845
chr9_GL383539v1_alt	43008	43535
chr4_GL383527v1_alt	160188	160522
chr3_KI270781v1_alt	54823	55932
chr14_KI270846v1_alt	384806	385864
chr22_KI270739v1_random	68202	68853
chr8_KI270815v1_alt	46314	46608
chr19_KI270885v1_alt	85267	85656
chr17_JH159146v1_alt	203885	212176
chr17_KI270858v1_alt	233539	233692
chr12_KI270904v1_alt	499557	499869
chr1_KI270710v1_random	35364	35511
chr6_GL000250v2_alt	1701369	1701864
chr1_KI270764v1_alt	18298	19639
chr18_GL383569v1_alt	26250	27872
chr15_KI270848v1_alt	15424	20368
chr11_KI270832v1_alt	71885	72400
chr13_KI270843v1_alt	27290	27427
chr17_KI270910v1_alt	54843	55452
chr17_JH159148v1_alt	53304	53759
chr1_KI270706v1_random	36899	37157
chr13_KI270842v1_alt	34822	35877
chr8_KI270926v1_alt	87467	87679
chr3_KI270783v1_alt	54920	55395
chr22_KI270731v1_random	34199	34348
chr22_KI270733v1_random	152183	152900
chr15_KI270852v1_alt	139431	139572
chr20_KI270871v1_alt	9783	10475
chr17_GL383563v3_alt	319660	331555
chr19_KI270933v1_alt	113323	113451
chr19_KI270930v1_alt	130075	130214
chr22_KI270731v1_random	29845	31169
chr6_KI270798v1_alt	259038	259388
chrM	1449	1677
chr22_KI270877v1_alt	24527	24696
chr13_KI270838v1_alt	163353	163689
chr9_KI270719v1_random	138422	138584
chr17_KI270859v1_alt	70011	70186
chr17_KI270910v1_alt	117315	117447
chr19_KI270887v1_alt	141232	141531
chr5_KI270795v1_alt	89009	94923
chr14_GL000009v2_random	154026	155676
chr18_GL383572v1_alt	64900	65076
chr19_GL949746v1_alt	954124	955036
chr19_KI270885v1_alt	124096	124438
chr1_KI270765v1_alt	46394	48091
chr3_GL383526v1_alt	2758	3103
chr3_JH636055v2_alt	105379	107067
chr21_KI270872v1_alt	61138	61515
chr6_GL000252v2_alt	1436034	1436204
chr4_KI270790v1_alt	156274	156488
chr5_GL383530v1_alt	10142	10877
chr1_KI270709v1_random	66232	66602
chr6_GL383533v1_alt	113180	113523
chr7_KI270805v1_alt	191706	192233
chr6_KI270798v1_alt	195360	195461
chr15_GL383555v2_alt	195363	196621
chr14_KI270846v1_alt	551394	551528
chr13_KI270841v1_alt	121725	121927
chr21_GL383578v2_alt	9617	9951
chr13_KI270843v1_alt	36909	37633
chr17_KI270859v1_alt	13857	13968
chr17_KI270859v1_alt	48202	48557
chr19_KI270922v1_alt	155962	156151
chr5_KI270796v1_alt	165355	165458
chr3_JH636055v2_alt	116529	116916
chr10_GL383546v1_alt	107057	107238
chr14_GL000009v2_random	164709	165568
chr13_KI270843v1_alt	65890	66054
chr19_KI270916v1_alt	58195	59568
chr19_GL383573v1_alt	97158	97415
chr11_KI270830v1_alt	108443	109190
chr1_GL383518v1_alt	158710	159373
chr15_KI270852v1_alt	48168	48276
chr12_KI270837v1_alt	11070	11431
chr19_KI270921v1_alt	92159	93000
chr19_GL383574v1_alt	2942	3452
chr20_KI270869v1_alt	98444	99129
chr2_GL383521v1_alt	64295	64851
chr18_GL383570v1_alt	51104	51769
chr6_GL000251v2_alt	1213948	1214204
chr7_KI270806v1_alt	2420	2683
chr3_KI270934v1_alt	146404	146739
chr12_GL877875v1_alt	35270	35514
chr4_KI270786v1_alt	136762	137093
chr7_KI270806v1_alt	106419	106711
chr3_KI270934v1_alt	115132	115510
chr1_KI270760v1_alt	7362	7506
chr2_KI270769v1_alt	51700	51859
chr19_GL949748v2_alt	23187	23360
chr12_KI270837v1_alt	36641	36824
chr12_GL877876v1_alt	189647	190166
chr2_GL383522v1_alt	47035	47288
chr2_KI270773v1_alt	35104	35274
chr4_KI270785v1_alt	102064	102523
chr17_KI270730v1_random	54147	54293
chr11_KI270927v1_alt	130402	130741
chr17_JH159148v1_alt	86283	86497
chr19_KI270889v1_alt	4736	5460
chr11_KI270831v1_alt	22155	22718
chr11_KI270832v1_alt	141722	142114
chr17_KI270858v1_alt	98111	98471
chr9_GL383541v1_alt	162511	162921
chr8_KI270819v1_alt	110254	110635
chr19_KI270883v1_alt	112919	113630
chr6_GL000256v2_alt	320676	321450
chr14_KI270845v1_alt	177323	177448
chr5_KI270792v1_alt	152865	153335
chr15_KI270852v1_alt	218078	218595
chr19_KI270919v1_alt	21560	21719
chr17_GL383565v1_alt	12159	12554
chr18_GL383568v1_alt	63885	64444
chr19_GL949752v1_alt	889960	890108
chr1_KI270710v1_random	6684	6900
chr5_GL383530v1_alt	87316	87945
chr9_KI270717v1_random	34523	34653
chr1_KI270707v1_random	31106	31354
chr12_KI270834v1_alt	73488	73669
chr1_KI270766v1_alt	186733	187075
chr4_KI270925v1_alt	498351	498897
chr6_GL000251v2_alt	1493812	1495381
chr5_KI270793v1_alt	113506	113775
chr15_KI270848v1_alt	294442	294623
chr1_GL383518v1_alt	7606	8270
chr22_KI270928v1_alt	37288	38054
chr7_KI270808v1_alt	242527	242852
chr6_GL000252v2_alt	4375556	4376020
chr1_KI270762v1_alt	241394	241771
chr6_GL000256v2_alt	4638256	4639019
chr14_KI270726v1_random	29924	30486
chr17_KI270862v1_alt	125615	125910
chr6_KI270758v1_alt	47798	48031
chr5_KI270796v1_alt	137199	137478
chr2_KI270771v1_alt	48314	48940
chr12_KI270835v1_alt	132733	133780
chr9_KI270717v1_random	7838	7968
chr2_KI270716v1_random	74446	74828
chr8_KI270816v1_alt	68125	68374
chrX_KI270880v1_alt	90163	90735
chr22_KI270877v1_alt	6722	6986
chr8_KI270926v1_alt	124140	124345
chr22_KI270732v1_random	30502	31100
chr3_KI270780v1_alt	84500	84836
chr1_KI270761v1_alt	84356	84843
chr20_KI270869v1_alt	109167	109306
chr8_KI270812v1_alt	46363	46834
chr19_KI270883v1_alt	130496	131084
chr19_KI270921v1_alt	95252	97580
chr8_KI270812v1_alt	120028	124783
chr6_KI270799v1_alt	74894	74970
chr2_KI270767v1_alt	19580	19831
chr5_GL949742v1_alt	139396	139607
chr22_KI270738v1_random	60959	61307
chr9_GL383539v1_alt	30970	31120
chr17_KI270909v1_alt	250065	250233
chr12_GL383550v2_alt	21590	22812
chr8_KI270813v1_alt	269544	269804
chr17_KI270857v1_alt	495089	495256
chr14_KI270846v1_alt	511393	511902
chr19_KI270914v1_alt	98375	98558
chr19_GL949750v2_alt	958533	958728
chr22_GL383582v2_alt	74918	75135
chrY_KI270740v1_random	18007	18359
chr3_KI270935v1_alt	84816	85033
chr5_GL949742v1_alt	219395	219707
chr17_KI270729v1_random	90948	91202
chr21_GL383578v2_alt	12424	13279
chr16_KI270853v1_alt	1818092	1818450
chr9_KI270718v1_random	7219	7333
chr3_JH636055v2_alt	88955	89118
chr1_KI270710v1_random	29215	29690
chr2_KI270774v1_alt	55186	55521
chr22_GL383583v2_alt	86089	86202
chr17_KI270730v1_random	66029	66610
chrX_KI270913v1_alt	9587	10384
chr2_KI270775v1_alt	55075	55799
chr18_GL383567v1_alt	14258	14918
chr20_KI270869v1_alt	106139	106337
chr19_KI270883v1_alt	128660	128957
chr19_KI270885v1_alt	11096	11329
chr17_KI270858v1_alt	66210	66654
chr1_KI270706v1_random	17685	18696
chr15_GL383555v2_alt	39945	40092
chr22_KI270734v1_random	67608	67905
chr22_KI270876v1_alt	258056	259384
chr4_KI270786v1_alt	63492	63617
chr14_KI270726v1_random	35745	35898
chr3_KI270779v1_alt	159242	160971
chr6_KI270801v1_alt	774501	775120
chr22_KI270877v1_alt	76071	76247
chr11_KI270829v1_alt	101581	102029
chr8_KI270821v1_alt	479914	480653
chr4_KI270789v1_alt	43791	44793
chr19_KI270922v1_alt	134969	135980
chr22_KI270879v1_alt	228081	228326
chr17_KI270857v1_alt	2273187	2273631
chr1_KI270707v1_random	16202	16505
